,RevalYear,TaxYear,LandValue,BuildingValue,ObxfValue,TotalMarketValue,DeferredValue,TotalAssessedValue,buildingId,id,BuildingNumber,ImprovementType,ValuationModel,QualityCode,ActualYearBuilt,HeatedAreaCard,BedroomCountTotal,BathCountTotal,HalfBathCountTotal,ParcelID,ParcelNumber
86,2023,2023,160000,803220,0,963220,0,963220,1,2641I030,1,94 - SFR-BHI,01 - SFR CONSTRUCTION,4 - ABOVE AVERAGE,1983,"2,444 sqft",5,5,0,13622053,2641I030
87,2023,2023,105000,651170,0,756170,0,756170,1,2641B033,1,94 - SFR-BHI,01 - SFR CONSTRUCTION,4 - ABOVE AVERAGE,1988,"1,868 sqft",4,3,0,14263575,2641B033
88,2023,2023,525000,675230,2040,1202270,0,1202270,1,2641B006,1,94 - SFR-BHI,01 - SFR CONSTRUCTION,4 - ABOVE AVERAGE,1988,"2,638 sqft",3,2,1,13621807,2641B006
89,2023,2023,105000,942820,1150,1048970,0,1048970,1,2641B036,1,94 - SFR-BHI,01 - SFR CONSTRUCTION,5 - EXCELLENT,1994,"2,444 sqft",4,3,0,13621837,2641B036
90,2023,2023,160000,684890,0,844890,0,844890,1,2641I058,1,94 - SFR-BHI,01 - SFR CONSTRUCTION,4 - ABOVE AVERAGE,1974,"2,756 sqft",3,2,1,13622081,2641I058
91,2023,2023,160000,637080,0,797080,0,797080,1,2641I052,1,94 - SFR-BHI,01 - SFR CONSTRUCTION,4 - ABOVE AVERAGE,1989,"2,128 sqft",4,2,1,13622075,2641I052
92,2023,2023,160000,645610,0,805610,0,805610,1,2641I051,1,94 - SFR-BHI,01 - SFR CONSTRUCTION,4 - ABOVE AVERAGE,1993,"2,039 sqft",3,2,1,13622074,2641I051
93,2023,2023,160000,818460,0,978460,0,978460,1,2641I065,1,94 - SFR-BHI,01 - SFR CONSTRUCTION,4 - ABOVE AVERAGE,1997,"2,216 sqft",4,3,1,13622088,2641I065
94,2023,2023,160000,691260,14980,866240,0,866240,1,2641I006,1,94 - SFR-BHI,01 - SFR CONSTRUCTION,4 - ABOVE AVERAGE,1988,"1,658 sqft",3,3,1,13622030,2641I006
95,2023,2023,90000,1031560,0,1121560,0,1121560,1,2641J040,1,94 - SFR-BHI,01 - SFR CONSTRUCTION,4 - ABOVE AVERAGE,2000,"2,475 sqft",4,4,0,13622156,2641J040
96,2023,2023,90000,655840,6680,752520,0,752520,1,2641K002,1,94 - SFR-BHI,01 - SFR CONSTRUCTION,4 - ABOVE AVERAGE,1981,"2,176 sqft",4,3,0,13234798,2641K002
97,2023,2023,135000,640690,7720,783410,0,783410,1,2641L003,1,94 - SFR-BHI,01 - SFR CONSTRUCTION,4 - ABOVE AVERAGE,1974,"2,037 sqft",3,2,0,13235103,2641L003
98,2023,2023,90000,687660,340,778000,0,778000,1,2641L001,1,94 - SFR-BHI,01 - SFR CONSTRUCTION,4 - ABOVE AVERAGE,1987,"2,357 sqft",3,2,1,13622163,2641L001
99,2023,2023,112500,752750,2770,868020,0,868020,1,2641L024,1,94 - SFR-BHI,01 - SFR CONSTRUCTION,4 - ABOVE AVERAGE,1992,"2,319 sqft",3,3,0,13622182,2641L024
100,2023,2023,90000,765920,15780,871700,0,871700,1,2641L011,1,94 - SFR-BHI,01 - SFR CONSTRUCTION,4 - ABOVE AVERAGE,1999,"1,988 sqft",3,2,1,13732331,2641L011
101,2023,2023,75000,640100,450,715550,0,715550,1,2642G013,1,94 - SFR-BHI,01 - SFR CONSTRUCTION,4 - ABOVE AVERAGE,1986,"1,785 sqft",3,2,0,13603156,2642G013
102,2023,2023,90000,803140,7570,900710,0,900710,1,2642G022,1,94 - SFR-BHI,01 - SFR CONSTRUCTION,4 - ABOVE AVERAGE,1997,"2,036 sqft",3,3,0,13603165,2642G022
103,2023,2023,90000,695730,0,785730,0,785730,1,2641N018,1,94 - SFR-BHI,01 - SFR CONSTRUCTION,4 - ABOVE AVERAGE,1983,"2,284 sqft",4,3,0,13622260,2641N018
104,2023,2023,90000,810850,0,900850,0,900850,1,2641N008,1,94 - SFR-BHI,01 - SFR CONSTRUCTION,4 - ABOVE AVERAGE,2000,"2,048 sqft",3,2,1,13622251,2641N008
105,2023,2023,225250,638150,0,863400,0,863400,1,2641F020,1,94 - SFR-BHI,01 - SFR CONSTRUCTION,4 - ABOVE AVERAGE,1998,"1,704 sqft",3,2,1,13621962,2641F020
106,2023,2023,75000,821630,1200,897830,0,897830,1,2642I001,1,94 - SFR-BHI,01 - SFR CONSTRUCTION,4 - ABOVE AVERAGE,2000,"2,292 sqft",3,2,1,13603189,2642I001
107,2023,2023,337500,137230,0,474730,0,474730,1,2601B064,1,94 - SFR-BHI,01 - SFR CONSTRUCTION,4 - ABOVE AVERAGE,1991,198 sqft,0,1,0,12995680,2601B064
108,2023,2023,500000,781650,390,1282040,0,1282040,1,2601B005,1,94 - SFR-BHI,01 - SFR CONSTRUCTION,4 - ABOVE AVERAGE,1995,"2,220 sqft",3,2,1,13620181,2601B005
109,2023,2023,500000,734940,1600,1236540,0,1236540,1,2601B011,1,94 - SFR-BHI,01 - SFR CONSTRUCTION,4 - ABOVE AVERAGE,1988,"1,728 sqft",3,3,0,13620188,2601B011
110,2023,2023,500000,594410,840,1095250,0,1095250,1,2601B012,1,94 - SFR-BHI,01 - SFR CONSTRUCTION,4 - ABOVE AVERAGE,1988,"1,400 sqft",3,2,1,13620189,2601B012
111,2023,2023,500000,648210,1130,1149340,0,1149340,1,2601B013,1,94 - SFR-BHI,01 - SFR CONSTRUCTION,4 - ABOVE AVERAGE,1988,"1,912 sqft",3,3,0,13620190,2601B013
112,2023,2023,500000,679080,5530,1184610,0,1184610,1,2601B014,1,94 - SFR-BHI,01 - SFR CONSTRUCTION,4 - ABOVE AVERAGE,1996,"2,272 sqft",3,2,0,13620191,2601B014
113,2023,2023,250000,357360,0,607360,0,607360,1,2601B020,1,94 - SFR-BHI,01 - SFR CONSTRUCTION,4 - ABOVE AVERAGE,1988,901 sqft,1,1,1,13620198,2601B020
114,2023,2023,500000,469040,3340,972380,0,972380,1,2601B018,1,94 - SFR-BHI,01 - SFR CONSTRUCTION,4 - ABOVE AVERAGE,1988,"1,649 sqft",3,2,1,14239914,2601B018
115,2023,2023,500000,654320,780,1155100,0,1155100,1,2601B024,1,94 - SFR-BHI,01 - SFR CONSTRUCTION,4 - ABOVE AVERAGE,1993,"1,790 sqft",3,2,0,13620202,2601B024
116,2023,2023,330000,815250,1240,1146490,0,1146490,1,2601B037,1,94 - SFR-BHI,01 - SFR CONSTRUCTION,4 - ABOVE AVERAGE,1996,"1,837 sqft",3,2,1,13620213,2601B037
117,2023,2023,750000,946610,11180,1707790,0,1707790,1,2601B063,1,94 - SFR-BHI,01 - SFR CONSTRUCTION,4 - ABOVE AVERAGE,1999,"2,007 sqft",3,3,0,13620239,2601B063
118,2023,2023,750000,851390,7680,1609070,0,1609070,1,2601B056,1,94 - SFR-BHI,01 - SFR CONSTRUCTION,4 - ABOVE AVERAGE,2000,"2,140 sqft",4,3,1,13620232,2601B056
119,2023,2023,600000,2543020,19990,3163010,0,3163010,1,2601B021,1,69 - COMMERICAL BHI,07 - COMMERCIAL CONST.,4 - ABOVE AVERAGE,1994,"9,834 sqft",0,0,0,12995583,2601B021
120,2023,2023,525000,667720,6050,1198770,0,1198770,1,2643A014,1,94 - SFR-BHI,01 - SFR CONSTRUCTION,4 - ABOVE AVERAGE,1990,"2,172 sqft",3,3,0,13603347,2643A014
121,2023,2023,300000,582270,0,882270,0,882270,1,2643A017,1,94 - SFR-BHI,01 - SFR CONSTRUCTION,4 - ABOVE AVERAGE,1983,"1,670 sqft",3,2,0,12206191,2643A017
122,2023,2023,300000,639820,0,939820,0,939820,1,2643B031,1,94 - SFR-BHI,01 - SFR CONSTRUCTION,4 - ABOVE AVERAGE,1982,"1,785 sqft",3,2,0,12206215,2643B031
123,2023,2023,300000,480290,0,780290,0,780290,1,2643B033,1,94 - SFR-BHI,01 - SFR CONSTRUCTION,4 - ABOVE AVERAGE,1985,"1,628 sqft",3,2,0,13603423,2643B033
124,2023,2023,176000,885630,8390,1070020,0,1070020,1,2643B042,1,94 - SFR-BHI,01 - SFR CONSTRUCTION,4 - ABOVE AVERAGE,1995,"2,652 sqft",4,3,0,13603432,2643B042
125,2023,2023,265000,595940,6360,867300,0,867300,1,2641F021,1,94 - SFR-BHI,01 - SFR CONSTRUCTION,4 - ABOVE AVERAGE,1982,"1,800 sqft",3,2,0,12956066,2641F021
126,2023,2023,75000,827700,7430,910130,0,910130,1,2641O043,1,94 - SFR-BHI,01 - SFR CONSTRUCTION,5 - EXCELLENT,1999,"1,720 sqft",4,3,0,13602754,2641O043
127,2023,2023,90000,872510,4170,966680,0,966680,1,2641P007,1,94 - SFR-BHI,01 - SFR CONSTRUCTION,4 - ABOVE AVERAGE,1999,"2,196 sqft",3,3,1,13602770,2641P007
